duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,cast_total_facebook_likes,facenumber_in_poster,budget,actor_2_facebook_likes,movie_facebook_likes,rating
96,13,463,16000,83024900,17416,0,135000000,881,13000,B
115,521,883,13000,227137090,17369,0,110000000,897,0,A
117,235,680,2000,180191634,5730,6,130000000,2000,61000,B
115,386,12000,21000,292298923,59177,3,120000000,17000,65000,C
116,14000,807,10000,234277056,12758,0,132000000,1000,0,B
90,50,397,4000,149234747,5046,0,130000000,442,16000,B
138,0,8000,12000,101160529,32355,2,125000000,9000,71000,C
142,0,10000,11000,249358727,33284,3,130000000,10000,11000,B
165,1000,165,309,49551662,921,0,130000000,284,0,B
82,0,388,1000,137748063,2945,1,127500000,558,0,B
,0,159,10000,,11036,1,,570,40,B
95,96,8000,24000,148337537,46120,3,130000000,11000,13000,B
159,0,645,11000,317557891,13191,4,125000000,687,16000,B
120,28,12,544,,699,0,,106,0,A
,0,1000,10000,,14719,1,,2000,25,B
123,508,14000,34000,337103873,81385,1,125000000,22000,52000,B
101,107,56,688,131536019,1031,0,103000000,237,0,B
132,681,12000,23000,209805005,55345,3,125000000,14000,54000,B
129,0,154,21000,186830669,22403,2,125000000,979,39000,B
113,719,217,605,119412921,1441,0,65000000,308,0,B
102,323,241,845,32694788,1815,1,85000000,372,0,B
125,541,409,920,107285004,2699,3,125000000,890,0,D
110,2000,636,1000,260031035,4146,0,123000000,722,0,B
123,610,653,10000,215397307,11930,0,125000000,794,0,B
130,249,461,784,182618434,2684,0,140000000,638,0,B
127,0,341,774,124976634,2121,0,120000000,358,122000,A
123,160,402,12000,115802596,14017,1,110000000,701,0,C
107,368,1000,2000,100685880,4046,0,120000000,1000,0,C
77,50,537,886,64736114,2682,0,120000000,799,459,C
109,662,1000,13000,93050117,17689,0,115000000,2000,61000,B
117,294,1000,10000,58607007,14161,0,100000000,2000,60000,B
121,274,157,273,30212620,993,4,120000000,216,0,C
117,446,877,10000,76418654,12731,0,117000000,973,11000,B
140,0,4000,20000,380262555,44042,4,113000000,16000,10000,B
92,0,773,12000,289907418,15013,0,115000000,1000,0,A
138,446,929,20000,132550960,23755,1,120000000,992,68000,B
136,0,1000,20000,474544677,37723,1,115000000,14000,13000,B
98,16,12000,16000,187165546,43286,3,135000000,15000,28000,B
116,0,141,936,,1609,1,78000000,276,291,C
153,610,617,12000,40911830,15046,0,115000000,836,0,B
101,473,429,833,190871240,2690,0,125000000,809,62000,C
91,0,13,39,274084951,87,0,100000000,23,147000,B
112,13,799,5000,81638674,8306,,135000000,833,12000,B
100,128,78,596,56114221,1261,3,120000000,360,41000,C
114,62,884,12000,155181732,16718,0,110000000,2000,52000,B
119,55,387,811,125332007,2958,3,110000000,766,0,B
125,0,350,11000,125531634,19359,0,110000000,8000,0,B
126,218,322,11000,186336103,22722,2,120000000,11000,0,B
119,124,1000,14000,129995817,22622,0,110000000,5000,27000,B
170,17000,827,29000,102608827,34582,0,110000000,3000,0,B
119,1000,741,11000,98780042,13391,0,120000000,1000,14000,C
60,,432,669,,1655,4,,554,0,B
102,263,1000,6000,106369117,10583,0,110000000,1000,71000,B
103,67,111,383,142614158,692,3,110000000,113,31000,C
120,124,943,6000,66002193,12452,3,110000000,5000,12000,C
127,189,544,20000,85463309,22254,1,110000000,929,36000,B
121,101,202,673,48068396,2027,0,160000000,368,894,D
129,235,297,13000,134520804,13961,1,110000000,300,0,B
171,0,857,16000,313837577,22342,2,93000000,5000,21000,A
165,0,780,10000,58183966,14196,1,107000000,851,0,B
115,295,466,10000,144795350,12068,1,120000000,981,0,B
84,50,692,979,140015224,3382,0,133000000,886,0,C
151,0,372,13000,228430993,14831,1,108000000,801,153000,A
136,0,3000,19000,35799026,34839,1,126000000,12000,0,B
127,57,3000,12000,101643008,29069,1,90000000,11000,0,B
145,14000,533,10000,132014112,12546,0,102000000,798,0,B
144,258,834,6000,167007184,9125,1,150000000,1000,0,A
153,0,539,780,204843350,2829,0,102000000,604,13000,A
176,0,561,18000,130127620,20354,0,100000000,782,0,B
106,12000,385,18000,65452312,19906,1,100000000,464,0,B
116,285,107,12000,119219978,20233,2,100000000,8000,16000,B
165,16000,265,29000,162804648,40978,1,100000000,11000,199000,A
78,10,253,558,89296573,2039,1,100000000,452,0,B
131,226,341,12000,173005002,13679,0,100000000,625,0,B
101,0,279,925,77222184,1738,0,100000000,468,11000,B
102,77,120,14000,107515297,14552,2,100000000,151,17000,B
121,0,595,1000,66862068,3903,0,83000000,1000,2000,C
240,17000,4000,29000,116866727,46057,3,100000000,11000,138000,A
129,719,423,660,54700065,2031,0,105000000,475,0,B
101,0,577,2000,55673333,4286,1,80000000,653,16000,B
101,420,467,12000,72660029,16235,0,100000000,3000,21000,B
102,52,526,8000,49392095,10552,1,100000000,735,0,C
114,19,848,1000,28772222,3962,1,105000000,897,37000,C
122,2000,571,26000,24985612,28328,0,100000000,911,27000,B
115,521,95,13000,35024475,13761,1,100000000,537,0,B
110,342,393,623,10200000,1722,0,10000000,508,578,B
146,611,28,23000,9213,23240,2,94000000,196,13000,B
93,0,465,11000,59475623,13748,1,90000000,2000,0,C
85,116,329,8000,86897182,9271,0,95000000,331,18000,B
126,0,10000,14000,63540020,39319,2,93000000,13000,18000,B
146,127,722,962,95328937,4555,4,100000000,740,0,C
88,20,916,22000,161317423,25354,0,95000000,1000,14000,B
105,0,502,2000,201148159,4671,1,95000000,520,56000,B
100,475,799,1000,380838870,5641,0,94000000,939,11000,A
192,0,416,5000,377019252,6434,2,94000000,857,16000,A
102,44,766,12000,17176900,17098,4,95000000,3000,16000,C
100,165,240,11000,131144183,12150,1,115000000,509,0,C
105,81,779,11000,176740650,13118,0,93000000,1000,47000,B
107,70,330,770,71148699,1614,0,90000000,419,0,B
137,102,877,2000,22406362,5780,0,107000000,973,701,B
124,212,810,1000,11000000,3611,3,98000000,903,1000,C
98,188,602,10000,250147615,12998,0,90000000,826,0,B
98,12000,1000,18000,81557479,25780,1,100000000,3000,18000,B
130,0,568,11000,155370362,12890,0,100000000,627,0,B
94,107,117,835,196573705,1258,0,90000000,256,0,B
94,368,466,13000,125305545,15419,0,92000000,1000,0,C
151,17000,1000,29000,132373442,45648,0,90000000,13000,29000,A
121,0,918,21000,110416702,23484,3,92000000,1000,0,B
128,323,489,13000,100012500,14274,1,90000000,559,0,B
141,335,635,11000,,13379,2,,745,0,B
95,21,503,12000,84037039,15237,0,120000000,802,0,B
121,0,919,10000,83077470,14165,0,75000000,1000,0,B
106,0,1000,22000,78747585,35367,0,88000000,11000,39000,C
88,50,441,691,75817994,2622,0,90000000,569,988,C
119,719,423,833,73209340,2356,0,95000000,624,0,C
106,87,918,8000,68558662,10882,0,90000000,956,28000,C
117,101,3000,18000,65653758,33154,1,95000000,11000,0,C
116,176,84,192,61355436,475,0,68000000,117,0,B
114,0,281,3000,60874615,4902,0,90000000,933,0,C
132,0,957,49000,58220776,55254,0,100000000,1000,0,B
111,79,2000,11000,42877165,26088,0,86000000,11000,979,B
100,128,78,596,56114221,1261,3,120000000,360,41000,C
144,2000,537,680,61644321,2523,0,88000000,655,0,A
140,378,599,12000,120147445,13808,0,87000000,947,0,B
106,357,4000,23000,144512310,45327,2,38000000,14000,14000,B
108,750,971,49000,197992827,70996,0,100000000,20000,0,B
124,249,936,11000,172620724,23603,1,85000000,10000,0,B
110,545,5000,14000,20315324,27694,8,75000000,8000,19000,C
91,266,11000,12000,148313048,37142,2,85000000,11000,28000,B
44,,148,544,,996,1,,183,59000,A
115,79,820,18000,126149655,36237,1,85000000,16000,19000,B
104,420,535,2000,78009155,3768,5,75000000,906,0,B
138,278,213,14000,63224849,17423,3,85000000,3000,19000,B
120,278,963,11000,112703470,15226,2,85000000,2000,0,B
122,0,11000,14000,117144465,43499,3,85000000,13000,0,B
139,168,1000,14000,150832203,22226,2,85000000,5000,49000,B
104,532,557,12000,47592825,16930,1,85000000,3000,0,B
130,323,330,670,50016394,2407,1,70000000,442,0,B
104,681,159,584,62494975,1235,5,85000000,227,0,B
97,6,561,1000,46440491,2707,1,100000000,579,0,B
108,99,172,672,40048332,1460,1,85000000,174,941,C
123,189,87,813,,1476,0,,388,0,B
112,1000,719,10000,31494270,12687,0,60000000,1000,36000,B
135,36,106,894,31111260,1439,0,60000000,345,0,C
86,67,271,4000,153288182,6355,3,84000000,2000,0,C
95,38,20,409,13401683,578,0,35000000,107,46000,B
130,0,602,875,,2662,0,8000000,826,0,B
82,62,615,975,43575716,3326,0,85000000,760,0,C
120,0,160,3000,75754670,3632,0,85000000,169,3000,B
162,21000,495,21000,33048353,36928,0,65000000,15000,12000,B
101,293,1000,11000,242589580,21276,1,81000000,7000,0,B
113,13000,5000,26000,102981571,46355,9,80000000,13000,57000,B
142,378,575,34000,407999255,49942,0,78000000,14000,140000,B
102,480,461,14000,254455986,16143,0,80000000,670,56000,B
83,12,925,13000,155019340,22813,1,80000000,7000,0,B
85,255,443,1000,145771527,3112,0,80000000,533,0,B
120,75,3000,11000,140459099,22750,0,75000000,4000,0,B
116,23,110,13000,53215979,25220,7,84000000,12000,22000,B
87,31,733,1000,133103929,4073,0,75000000,1000,0,C
101,221,11000,12000,133668525,39269,4,80000000,11000,14000,C
128,278,343,18000,124590960,22679,1,80000000,4000,0,B
138,17000,163,29000,127968405,29585,0,80000000,223,53000,A
91,77,208,1000,128200012,1804,1,75000000,311,0,B
138,610,805,12000,112225777,17087,0,80000000,1000,11000,B
117,0,818,15000,104054514,16828,0,80000000,1000,0,B
54,,0,577,,581,0,,4,55000,A
118,154,915,3000,101111837,5637,3,80000000,982,0,B
118,117,10000,18000,94822707,44797,0,80000000,15000,20000,B
113,101,913,14000,91188905,17786,0,80000000,960,0,C
93,189,38,1000,82226474,1267,0,65000000,177,0,C
135,503,67,8000,76081498,8355,1,75000000,137,0,B
98,425,397,11000,74329966,12729,2,70000000,643,0,C
83,21,495,13000,73215310,14261,0,80000000,503,4000,B
130,81,427,10000,69102910,12186,0,80000000,882,0,C
117,69,87,898,821997,1753,0,,577,91,B
25,,474,1000,,2614,1,,960,0,B
96,25,102,891,56684819,1919,0,80000000,639,3000,C
99,57,820,20000,69772969,25942,4,80000000,3000,0,B
113,25,129,49000,55350897,49631,1,85000000,448,32000,B
118,0,871,13000,37899638,27114,2,88000000,13000,0,C
81,92,8,23,,54,0,,21,257,B
89,84,1000,13000,38542418,18132,5,80000000,1000,0,B
114,357,366,13000,32885565,25126,0,80000000,10000,0,C
119,64,41,743,21471685,971,0,44000000,117,0,D
118,252,30,529,19673424,619,4,80000000,48,0,C
177,0,582,766,17593391,4346,1,80000000,674,0,B
106,42,612,14000,27356090,16922,0,90000000,788,21000,B
106,14,0,2,17473245,2,1,70000000,0,995,C
104,63,7,67,19406406,152,0,40000000,63,0,B
135,2000,535,1000,170708996,2827,0,58000000,592,29000,A
73,28,847,2000,422783777,6458,0,45000000,886,17000,A
94,62,722,14000,103812241,27842,3,79000000,12000,0,C
91,221,553,14000,74158157,27405,2,79000000,11000,0,D
107,309,771,23000,127083765,25296,5,76000000,787,0,C
108,54,6000,12000,1339152,30230,1,81200000,11000,31000,B
87,11,745,1000,323505540,4782,0,75000000,904,36000,B
110,45,845,1000,66462600,4714,3,78000000,872,0,C
98,275,1000,7000,368049635,11905,0,76000000,2000,56000,B
129,14000,227,610,229074524,1635,0,73000000,506,0,B
86,35,179,851,193136719,1777,0,75000000,436,0,B
109,0,18,16000,35286428,16479,0,76000000,430,17000,B
110,335,988,11000,134568845,25763,0,75000000,11000,0,B
136,0,904,12000,134006721,15999,1,75000000,2000,51000,B
99,88,328,11000,120776832,12952,2,75000000,427,11000,B
117,163,260,719,118823091,1673,9,75000000,339,0,B
110,16,692,2000,97360069,5320,0,75000000,710,509,C
125,255,963,11000,117698894,13312,6,75000000,988,105000,B
128,14000,232,15000,77032279,16199,0,60000000,466,16000,B
43,,218,1000,,1990,1,,560,10000,B
124,258,748,867,68473360,3424,0,75000000,826,0,C
102,0,15000,22000,66636385,60646,1,75000000,15000,0,B
130,386,525,912,103338338,2856,0,70000000,549,0,B
45,,0,374,,504,1,,130,0,A
163,14000,412,745,47379090,2529,0,70000000,486,0,B
142,845,787,13000,43426961,16580,1,70000000,1000,0,B
116,0,104,15000,45434443,15735,2,75000000,509,43000,B
131,274,138,11000,42044321,12522,2,80000000,964,0,B
123,272,193,13000,41523271,13934,2,80000000,450,0,B
134,109,249,919,37600435,1695,3,55000000,303,0,C
110,763,222,15000,83503161,16691,1,75000000,1000,30000,B
113,17,759,87000,34636443,103354,0,52000000,13000,0,B
94,383,886,13000,22751979,15857,0,75000000,1000,0,B
99,545,533,933,14567883,2542,1,75000000,722,0,B
84,10,394,3000,90820,4368,0,,552,0,B
113,212,568,2000,21009180,4397,4,45000000,845,1000,B
91,22,1000,7000,336029560,13616,0,74000000,4000,70000,B
98,0,697,12000,55585389,15269,1,69000000,854,880,C
97,6,415,22000,107225164,24350,0,73000000,1000,14000,B
112,72,715,11000,70224196,13827,0,70000000,1000,0,C
110,532,461,3000,47456450,5187,1,70000000,638,0,B
122,285,989,8000,148213377,12410,5,73000000,1000,0,B
178,0,403,906,75600000,1976,1,72000000,466,17000,A
125,0,210,15000,62647540,15850,0,70000000,383,0,B
152,0,745,940,27796042,4310,1,72000000,826,0,B
116,212,462,13000,32616869,14780,0,72000000,658,886,C
108,0,882,3000,114195633,7273,0,60000000,2000,0,B
85,84,595,1000,144156464,4166,0,71500000,1000,694,C
93,80,48,692,436471036,1148,1,150000000,309,0,B
117,487,769,1000,244052771,4905,0,120000000,843,0,B
132,357,212,14000,141204016,14790,0,70000000,223,10000,C
92,5,726,870,162495848,5217,0,74000000,861,16000,B
153,16000,11000,13000,120523073,36741,1,75000000,11000,42000,A
142,14000,5000,49000,119654900,64259,1,70000000,8000,13000,B
124,212,576,13000,117541000,16595,0,70000000,982,0,B
117,69,1000,10000,116643346,14486,1,80000000,1000,0,B
141,488,509,10000,100614858,11458,1,68000000,834,0,B
110,0,559,3000,42272747,5609,1,70000000,579,0,C
88,84,1000,1000,219613391,5227,0,75000000,1000,2000,C
124,130,841,4000,78120196,6181,0,75000000,973,5000,B
103,906,748,1000,70117571,6207,0,58000000,906,1000,B
116,473,464,833,83552429,4001,0,70000000,697,25000,C
125,0,184,443,65012000,1439,1,70000000,277,0,B
146,14000,979,25000,79883359,46726,1,66000000,19000,28000,B
171,0,638,2000,54222000,4074,0,69500000,650,0,B
136,0,17,903,52474616,1579,2,70000000,592,13000,B
116,380,774,18000,40932372,32563,0,70000000,13000,0,B
127,905,271,15000,38345403,16034,8,70000000,588,15000,B
111,2000,244,17000,48430355,18510,2,70000000,1000,0,C
116,541,384,12000,30157016,12993,2,70000000,405,792,C
97,84,150,989,33105600,1576,1,70000000,229,531,C
88,24,324,5000,62321039,5861,1,70000000,327,24000,B
125,40,407,13000,19076815,15916,0,60000000,787,997,B
116,5,748,26000,25093607,49608,2,35000000,22000,17000,B
91,8,298,349,14294842,1846,1,70000000,324,391,D
97,13,695,11000,19819494,13628,0,70000000,893,815,C
95,101,443,2000,13596911,3734,0,70000000,509,2000,B
133,0,301,26000,7097125,28129,1,70000000,326,11000,C
106,14,582,11000,37760080,12871,2,70000000,1000,0,B
116,105,246,844,5851188,1899,1,70000000,729,764,C
99,212,182,576,18821279,1520,0,70000000,358,12000,C
124,31,497,11000,118471320,12556,0,68000000,655,0,B
124,0,580,22000,71069884,32871,0,68000000,10000,0,B
105,29,97,584,35324232,1132,1,68000000,220,617,C
125,3000,3000,14000,81257500,30010,0,68000000,11000,30000,B
121,18,776,1000,29655590,3986,4,65000000,855,0,B
111,101,681,966,45045037,3393,3,36000000,919,10000,C
117,44,531,788,27550735,3524,0,,562,12000,B
128,0,135,29000,39380442,29824,1,70000000,149,0,B
105,335,911,3000,37516013,8281,0,69000000,3000,98000,C
113,36,232,537,87704396,1302,1,66000000,427,0,B
121,38,745,940,83892374,4230,0,66000000,826,0,B
102,4,112,14000,5932060,14625,0,35000000,394,0,C
132,76,464,3000,43568507,7081,1,66000000,3000,32000,B
127,278,912,2000,182805123,5838,1,70000000,955,0,B
136,759,354,11000,33685268,12194,1,68000000,599,4000,C
150,14000,655,23000,182204440,25517,0,65000000,826,71000,B
140,2000,552,15000,172071312,17171,0,62000000,968,5000,B
113,719,217,605,119412921,1441,0,65000000,308,0,B
158,0,11000,20000,148775460,46204,1,61000000,13000,144000,B
119,0,744,15000,115731542,17768,2,65000000,793,0,B
136,258,94,12000,93771072,12396,0,65000000,174,0,B
95,480,490,21000,100448498,23018,3,65000000,561,25000,B
130,16000,416,16000,90454043,17771,1,65000000,495,0,B
124,212,369,13000,84049211,15229,1,70000000,730,0,B
104,226,577,13000,69688384,16452,1,60000000,718,0,B
129,0,625,12000,70236496,14421,0,63000000,1000,0,B
99,119,174,600,59617068,1375,0,65000000,346,59000,B
159,0,521,10000,55637680,11424,1,65000000,580,10000,B
105,43,523,10000,53846915,11943,0,50100000,806,23000,B
103,368,520,27000,54758461,29808,3,65000000,1000,18000,B
114,468,919,1000,,3860,0,16900000,1000,0,B
143,0,210,509,38966057,1409,0,65000000,317,688,B
111,545,805,26000,36064910,28643,4,45000000,872,0,B
121,212,263,394,33328051,1531,2,65000000,380,4000,B
101,4000,539,17000,28045540,32232,0,65000000,14000,0,B
151,21000,637,11000,37023395,13209,2,63000000,783,48000,A
60,,575,1000,,3537,0,,773,0,A
100,36,554,13000,17218080,15944,0,70000000,773,0,C
105,0,506,975,10014234,3580,1,65000000,909,177,C
130,2000,25,268,1987287,450,0,50000000,85,0,B
100,38,1000,3000,24407944,7048,0,43000000,1000,0,C
133,521,970,11000,31054924,16710,1,64000000,1000,295,C
121,175,221,963,43247140,2131,0,55000000,580,40000,B
94,116,481,645,213079163,2725,2,63000000,522,0,B
94,42,668,12000,19548064,23365,1,65000000,9000,0,B
212,759,812,2000,25052000,5708,0,63000000,925,0,B
141,176,672,11000,122012710,14178,1,62000000,913,0,B
98,322,723,979,58255287,6334,1,64000000,862,0,C
116,84,563,11000,77086030,14931,0,62000000,919,0,B
87,12,645,3000,32178777,6658,6,62000000,966,0,D
125,11,867,11000,15738632,14536,2,42000000,904,0,C
93,8,970,8000,118153533,13232,2,61000000,1000,0,B
95,25,439,989,108012170,2558,0,63000000,664,0,C
106,116,708,22000,279167575,24938,6,80000000,713,0,B
115,64,664,2000,143151473,4811,0,60000000,899,11000,B
100,12,311,419,168213584,1412,3,,330,0,C
81,10,397,925,135381507,2252,0,150000000,729,912,C
119,218,73,13000,121468960,13249,1,60000000,147,0,B
130,258,345,394,106635996,1784,2,58000000,387,0,B
103,608,576,2000,125603360,3698,1,60000000,617,18000,A
99,59,145,770,101217900,1195,2,70000000,263,0,B
109,175,459,18000,75573300,20148,1,61000000,497,22000,B
87,6,405,3000,93375151,4171,0,60000000,664,0,C
101,30,268,1000,93307796,2636,2,60000000,976,0,B
83,35,754,13000,90646554,25788,0,105000000,11000,0,B
107,12000,695,10000,82670733,14006,0,60000000,3000,0,C
94,163,2000,12000,82569532,20348,6,60000000,3000,781,C
140,708,745,11000,80574010,20440,1,60000000,8000,26000,C
125,420,627,12000,75764085,16646,1,60000000,3000,0,B
156,0,1000,14000,75530832,20761,5,55000000,2000,0,B
170,0,380,19000,75370763,20683,0,60000000,1000,0,B
100,55,416,12000,90341670,14611,4,60000000,1000,0,C
115,13,579,2000,74540762,4496,2,55000000,1000,0,B
105,212,811,1000,73648142,3697,1,60000000,975,0,C
111,197,6,433,71844424,679,0,60000000,208,0,B
89,18,226,658,66734992,1233,0,60000000,257,858,C
100,253,57,309,75280058,647,1,60000000,229,10000,B
146,12000,451,18000,77862546,20454,2,70000000,992,14000,B
98,48,722,21000,61112916,24664,0,50000000,936,747,C
94,32,626,854,60573641,4530,1,60000000,628,0,C
132,0,160,366,59035104,1112,1,66000000,334,0,B
92,28,586,10000,55994557,13597,0,60000000,884,12000,B
124,105,460,24000,54910560,38227,0,60000000,13000,0,B
124,50,672,1000,51045801,3653,2,60000000,944,829,B
93,18,903,9000,50818750,13403,0,60000000,2000,0,B
98,11,107,966,50189179,2018,2,60000000,680,797,C
92,14,488,789,50024083,2318,1,60000000,520,1000,C
124,737,14000,34000,56443482,75793,3,60000000,22000,24000,B
99,24,864,18000,62401264,20276,3,60000000,992,28000,C
124,845,295,650,46975183,1640,0,61000000,467,0,B
96,7,642,874,50807639,3151,3,60000000,668,11000,B
100,97,2000,11000,257756197,22128,0,60000000,8000,64000,B
115,11,642,1000,48472213,4305,2,45000000,759,621,C
